number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
70,1.9226568781505193e-07,1.9586787747272183e-09,0.0,0.0,687,0.0009477955819187811,11,AdamW,2.886667490005493,0.0003511573886498809,0.8732202053070068,15557,0 days 00:00:02.888169
137,1.932839381879603e-07,1.9605835177571862e-08,0.0,0.0,792,0.0005543460012611475,8,AdamW,1.5773630142211914,0.0003518992743920535,0.8725486993789673,15557,0 days 00:00:01.579192
104,1.9436507159298344e-07,4.0890951735761405e-10,0.0,0.0,821,0.0007193840085670012,9,AdamW,3.013676404953003,0.00036362282116897404,0.8718358278274536,15557,0 days 00:00:03.015340
132,2.003743162504179e-07,6.239135874608337e-09,0.0,0.0,621,0.000866376744306552,11,AdamW,1.8238186836242676,0.00035521702375262976,0.8678733110427856,15557,0 days 00:00:01.825023
144,2.0192970850985148e-07,1.3984897684338193e-08,0.0,0.0,545,0.0006224205414467578,10,AdamW,1.4958858489990234,0.0003483002074062824,0.8668477535247803,15557,0 days 00:00:01.496555
71,2.044953930635529e-07,2.7031234139940352e-08,0.0,0.0,812,0.0005869199170168075,7,AdamW,1.3687238693237305,0.00034349816269241273,0.8651559352874756,15557,0 days 00:00:01.371327
92,2.0712150217150338e-07,3.041946428083975e-08,0.0,0.0,664,0.0002998013806345367,8,AdamW,1.0481243133544922,0.00037400354631245136,0.8634243011474609,15557,0 days 00:00:01.049322
44,2.0965710234577273e-07,5.837262673225041e-09,0.0,0.0,960,0.00045454209274186914,9,AdamW,2.461399555206299,0.0003692121244966984,0.8617522716522217,15557,0 days 00:00:02.462608
118,2.1053951115845848e-07,3.877157206400028e-10,0.0,0.0,928,0.0007541921206835678,9,AdamW,4.28006649017334,0.0003447975032031536,0.8611704111099243,15557,0 days 00:00:04.281663
130,2.1120143856023788e-07,5.236787892215489e-09,0.0,0.0,734,0.00043974657295036643,9,AdamW,1.5968220233917236,0.00035508358268998563,0.8607339859008789,15557,0 days 00:00:01.597729
128,2.1779726466775173e-07,1.2767158352744445e-07,0.0,0.0,1000,0.0009917257490021153,8,AdamW,2.0480077266693115,0.0003850599459838122,0.8563846945762634,15557,0 days 00:00:02.049658
125,2.2978899494319194e-07,4.1162657282711734e-08,0.0,0.0,790,0.000689505965467397,8,AdamW,1.5564823150634766,0.0004244938027113676,0.8484773635864258,15557,0 days 00:00:01.558302
91,2.3629276313386072e-07,4.9846097027739233e-08,0.0,0.0,776,0.0003939915612067882,7,AdamW,0.9947748184204102,0.0003588126564864069,0.8441887497901917,15557,0 days 00:00:00.997148
82,2.367734310837477e-07,4.918125906527848e-10,0.0,0.0,838,0.0009991240159413141,10,AdamW,4.1107118129730225,0.00038520360249094665,0.8438718318939209,15557,0 days 00:00:04.112355
41,2.3853314701227646e-07,1.2528501791564395e-08,0.0,0.0,872,0.0004183985439056967,10,AdamW,2.5066921710968018,0.00037817229167558253,0.8427114486694336,15557,0 days 00:00:02.508659
49,2.3961945316841593e-07,2.3541707250274158e-08,0.0,0.0,785,0.000811029499508339,7,AdamW,1.4172186851501465,0.0004054003511555493,0.841995120048523,15557,0 days 00:00:01.418223
127,2.4004668830457376e-07,2.2711924785312476e-08,0.0,0.0,841,0.0005895318840010599,7,AdamW,1.302922248840332,0.0003723905829247087,0.8417134284973145,15557,0 days 00:00:01.305382
119,2.435166095438035e-07,1.4118580971000938e-08,0.0,0.0,844,0.0004257994758118877,7,AdamW,1.3222119808197021,0.0003394398372620344,0.8394253253936768,15557,0 days 00:00:01.324299
147,2.4923846808633243e-07,3.836210993313216e-08,0.0,0.0,523,0.00055061898831466,7,AdamW,0.6446025371551514,0.0003725616552401334,0.8356523513793945,15557,0 days 00:00:00.644920
116,2.51905788672957e-07,4.335300118896157e-08,0.0,0.0,860,0.0009999673603587852,8,AdamW,1.8161706924438477,0.0004039061313960701,0.8338935375213623,15557,0 days 00:00:01.817495
140,2.53503770863972e-07,2.0453214233384642e-08,0.0,0.0,875,0.0006764688325415573,8,AdamW,2.0017011165618896,0.0003763494605664164,0.832839846611023,15557,0 days 00:00:02.003046
74,2.5365756073369994e-07,1.1718015446859908e-09,0.0,0.0,784,5.494557037198345e-05,9,AdamW,2.1654162406921387,0.0004201216215733439,0.8327383995056152,15557,0 days 00:00:02.166574
33,2.544624919664784e-07,8.143275387340054e-09,0.0,0.0,660,0.0003293493139250007,10,AdamW,1.7252147197723389,0.00038610570481978357,0.8322076797485352,15557,0 days 00:00:01.726670
97,2.587884750937519e-07,1.59222868223452e-09,0.0,0.0,879,0.0004755598444197961,11,AdamW,2.9090206623077393,0.0003945704083889723,0.8293551206588745,15557,0 days 00:00:02.910845
62,2.609313014545478e-07,1.430339180430451e-09,0.0,0.0,672,0.0008552041928274041,12,AdamW,3.323810577392578,0.0004066255933139473,0.8279421329498291,15557,0 days 00:00:03.324841
84,2.680511101971206e-07,2.239555429994766e-09,0.0,0.0,887,0.0005562104369076998,6,AdamW,2.2138783931732178,0.0004017016908619553,0.8232473134994507,15557,0 days 00:00:02.215662
